"uid"	"city_name"	"offense_code"	"offense_type"	"offense_group"	"offense_against"	"date_single"	"longitude"	"latitude"	"location_type"	"location_category"	"census_block"	"date_start"	"date_end"
"43"	1193103	"Austin"	"23H"	"all other larceny"	"larceny/theft offenses"	"property"	2018-01-25 17:00:00	-97.741424	30.193761	"residence"	"residence"	"484530024133002"	NA	NA
"44"	1193146	"Austin"	"240"	"motor vehicle theft"	"motor vehicle theft"	"property"	2018-01-25 20:00:00	-97.841599	30.206746	"residence"	"residence"	"484530017762011"	NA	NA
"45"	1193264	"Austin"	"13A"	"aggravated assault"	"assault offenses"	"persons"	2018-01-26 09:56:00	-97.67565	30.375772	"vehicle parking"	"open space"	"484530018332001"	NA	NA
"46"	1193446	"Austin"	"23A"	"pocket-picking"	"larceny/theft offenses"	"property"	2018-01-27 00:00:00	-97.744958	30.267019	"bar/club"	"leisure"	"484530011001111"	NA	NA
"47"	1193524	"Austin"	"23F"	"theft from motor vehicle (except theft of motor vehicle parts or accessories)"	"larceny/theft offenses"	"property"	2018-01-27 11:00:00	-97.74797	30.413065	"vehicle parking"	"open space"	"484530025004007"	NA	NA
"48"	1193604	"Austin"	"13B"	"simple assault"	"assault offenses"	"persons"	2018-01-27 18:40:00	-97.76082	30.197544	"residence"	"residence"	"484530024192002"	NA	NA
"49"	1193878	"Austin"	"90C"	"disorderly conduct"	"disorderly conduct"	"society"	2018-01-29 01:06:00	-97.741715	30.268136	"street"	"street"	"484530011001089"	NA	NA
"50"	1194202	"Austin"	"23H"	"all other larceny"	"larceny/theft offenses"	"property"	2018-01-30 16:00:00	-97.727381	30.243915	"residence"	"residence"	"484530023042008"	NA	NA
"51"	1194245	"Austin"	"290"	"destruction/damage/vandalism of property (except arson)"	"destruction/damage/vandalism of property (except arson)"	"property"	2018-01-30 19:00:00	-97.712671	30.417446	"residence"	"residence"	"484530018291007"	NA	NA
"52"	1194257	"Austin"	"13B"	"simple assault"	"assault offenses"	"persons"	2018-01-30 19:36:00	-97.713195	30.416175	"residence"	"residence"	"484530018291008"	NA	NA
