"","cmplnt_num","addr_pct_cd","boro_nm","cmplnt_fr_dt","cmplnt_fr_tm","cmplnt_to_dt","cmplnt_to_tm","crm_atpt_cptd_cd","hadevelopt","housing_psa","jurisdiction_code","juris_desc","ky_cd","law_cat_cd","loc_of_occur_desc","ofns_desc","parks_nm","patrol_boro","pd_cd","pd_desc","prem_typ_desc","rpt_dt","station_name","susp_age_group","susp_race","susp_sex","transit_district","vic_age_group","vic_race","vic_sex","x_coord_cd","y_coord_cd","latitude","longitude","lat_lon"
"831",753293276,71,"BROOKLYN","2019-03-06T00:00:00.000","00:20:00","2019-03-06T00:00:00.000","00:30:00","COMPLETED","",NA,0,"N.Y. POLICE DEPT",359,"MISDEMEANOR","FRONT OF","OFFENSES AGAINST PUBLIC ADMINI","","PATROL BORO BKLYN SOUTH",759,"PUBLIC ADMINISTATION,UNCLASS M","STREET","2019-03-06T00:00:00.000","","","","",NA,"UNKNOWN","UNKNOWN","E",996609,180771,40.6628509390001,-73.9554541159999,"(40.662850939, -73.955454116)"
"832",768899071,84,"BROOKLYN","2019-02-27T00:00:00.000","22:30:00","2019-02-28T00:00:00.000","05:35:00","COMPLETED","",NA,0,"N.Y. POLICE DEPT",341,"MISDEMEANOR","","PETIT LARCENY","","PATROL BORO BKLYN NORTH",321,"LARCENY,PETIT FROM AUTO","STREET","2019-02-28T00:00:00.000","","","","",NA,"45-64","BLACK","M",989650,193521,40.6978537800001,-73.980527228,"(40.69785378, -73.980527228)"
"833",468071018,10,"MANHATTAN","2019-01-08T00:00:00.000","17:00:00","2019-01-10T00:00:00.000","09:00:00","COMPLETED","",NA,0,"N.Y. POLICE DEPT",351,"MISDEMEANOR","FRONT OF","CRIMINAL MISCHIEF & RELATED OF","","PATROL BORO MAN SOUTH",254,"MISCHIEF, CRIMINAL 4, OF MOTOR","STREET","2019-01-11T00:00:00.000","","","","",NA,"UNKNOWN","UNKNOWN","D",982883,212411,40.7497038020001,-74.004935148,"(40.749703802, -74.004935148)"
"834",532874104,7,"MANHATTAN","2019-03-05T00:00:00.000","11:15:00","2019-03-05T00:00:00.000","11:30:00","COMPLETED","",NA,0,"N.Y. POLICE DEPT",578,"VIOLATION","INSIDE","HARRASSMENT 2","","PATROL BORO MAN SOUTH",638,"HARASSMENT,SUBD 3,4,5","RESIDENCE - APT. HOUSE","2019-03-05T00:00:00.000","","UNKNOWN","UNKNOWN","U",NA,"25-44","BLACK","F",988901,201538,40.719858974,-73.983222838,"(40.719858974, -73.983222838)"
"835",990436881,62,"BROOKLYN","2019-01-27T00:00:00.000","13:19:00","2019-01-27T00:00:00.000","13:21:00","COMPLETED","",NA,0,"N.Y. POLICE DEPT",361,"MISDEMEANOR","INSIDE","OFF. AGNST PUB ORD SENSBLTY &","","PATROL BORO BKLYN SOUTH",639,"AGGRAVATED HARASSMENT 2","RESIDENCE-HOUSE","2019-02-02T00:00:00.000","","UNKNOWN","UNKNOWN","M",NA,"25-44","WHITE","M",988709,160646,40.607619587,-73.98394252,"(40.607619587, -73.98394252)"
"836",367090994,33,"MANHATTAN","2019-01-03T00:00:00.000","15:38:00","2019-01-03T00:00:00.000","15:38:00","COMPLETED","",NA,0,"N.Y. POLICE DEPT",361,"MISDEMEANOR","INSIDE","OFF. AGNST PUB ORD SENSBLTY &","","PATROL BORO MAN NORTH",639,"AGGRAVATED HARASSMENT 2","RESIDENCE - APT. HOUSE","2019-01-03T00:00:00.000","","UNKNOWN","UNKNOWN","U",NA,"25-44","WHITE HISPANIC","F",1001528,244950,40.838997766,-73.9375589699999,"(40.838997766, -73.93755897)"
"837",154055931,7,"MANHATTAN","2019-01-18T00:00:00.000","03:15:00","2019-01-18T00:00:00.000","03:40:00","COMPLETED","",NA,0,"N.Y. POLICE DEPT",107,"FELONY","INSIDE","BURGLARY","","PATROL BORO MAN SOUTH",213,"BURGLARY,COMMERCIAL,NIGHT","STORE UNCLASSIFIED","2019-01-18T00:00:00.000","","UNKNOWN","UNKNOWN","M",NA,"UNKNOWN","UNKNOWN","D",987517,202337,40.7220526560001,-73.988215267,"(40.722052656, -73.988215267)"
"838",308670958,103,"QUEENS","2019-02-19T00:00:00.000","11:15:00","2019-02-19T00:00:00.000","11:20:00","COMPLETED","",NA,0,"N.Y. POLICE DEPT",359,"MISDEMEANOR","FRONT OF","OFFENSES AGAINST PUBLIC ADMINI","","PATROL BORO QUEENS SOUTH",749,"VIOLATION OF ORDER OF PROTECTI","PUBLIC BUILDING","2019-02-19T00:00:00.000","","25-44","BLACK","M",NA,"18-24","BLACK","F",1038771,195254,40.702444153,-73.803366663,"(40.702444153, -73.803366663)"
"839",461124481,115,"QUEENS","2019-02-19T00:00:00.000","16:00:00","2019-02-19T00:00:00.000","16:15:00","COMPLETED","",NA,0,"N.Y. POLICE DEPT",341,"MISDEMEANOR","INSIDE","PETIT LARCENY","","PATROL BORO QUEENS NORTH",333,"LARCENY,PETIT FROM STORE-SHOPL","VARIETY STORE","2019-02-19T00:00:00.000","","UNKNOWN","BLACK","M",NA,"UNKNOWN","UNKNOWN","D",1019903,213435,40.752442656,-73.871319319,"(40.752442656, -73.871319319)"
"840",717182679,19,"MANHATTAN","2019-03-23T00:00:00.000","21:50:00","2019-03-23T00:00:00.000","21:53:00","COMPLETED","",NA,0,"N.Y. POLICE DEPT",344,"MISDEMEANOR","","ASSAULT 3 & RELATED OFFENSES","","PATROL BORO MAN NORTH",101,"ASSAULT 3","STREET","2019-03-23T00:00:00.000","","25-44","ASIAN / PACIFIC ISLANDER","M",NA,"25-44","ASIAN / PACIFIC ISLANDER","F",997712,219839,40.77008162,-73.951400291,"(40.77008162, -73.951400291)"
