"","uid","city_name","offense_code","offense_type","offense_group","offense_against","date_single","longitude","latitude","location_type","location_category","census_block","date_start","date_end"
"58",16216075,"New York","35A","drug/narcotic violations","drug/narcotic offenses","society",2018-01-05 21:29:00,-73.89504,40.651149,"residence","residence","360470982002002",2018-01-05 21:28:00,2018-01-05 21:31:00
"59",16216209,"New York","23F","theft from motor vehicle (except theft of motor vehicle parts or accessories)","larceny/theft offenses","property",2018-01-06 00:22:00,-73.976128,40.646644,"other","other","360470500003000",2018-01-05 18:00:00,2018-01-06 06:45:00
"60",16216495,"New York","290","destruction/damage/vandalism of property (except arson)","destruction/damage/vandalism of property (except arson)","property",2018-01-06 09:30:00,-73.954473,40.66918,"street","street","360470323001000",2018-01-06 09:30:00,NA
"61",16216555,"New York","90Z","all other offenses","all other offenses","other",2018-01-06 11:12:00,-73.913516,40.852382,"residence","residence","360050245011000",2018-01-06 11:10:00,2018-01-06 11:15:00
"62",16216716,"New York","23H","all other larceny","larceny/theft offenses","property",2018-01-06 14:35:00,-73.935312,40.652518,"street","street","360470872003001",2018-01-06 14:30:00,2018-01-06 14:40:00
"63",16216719,"New York","90Z","all other offenses","all other offenses","other",2018-01-06 14:45:00,-73.845738,40.786007,"residence","residence","360810929003000",2018-01-05 14:00:00,2018-01-07 15:30:00
"64",16216762,"New York","23H","all other larceny","larceny/theft offenses","property",2018-01-06 15:35:00,-73.919458,40.837782,"street","street","360050221013002",2018-01-06 15:30:00,2018-01-06 15:41:00
"65",16217020,"New York","290","destruction/damage/vandalism of property (except arson)","destruction/damage/vandalism of property (except arson)","property",2018-01-06 20:25:00,-73.958717,40.772341,"street","street","360610128001000",2018-01-06 20:25:00,2018-01-06 20:26:00
"66",16217048,"New York","90Z","all other offenses","all other offenses","other",2018-01-06 20:57:00,-73.87418,40.82786,"residence","residence","360050048001000",2018-01-06 20:55:00,2018-01-06 21:00:00
"67",16217236,"New York","90Z","all other offenses","all other offenses","other",2018-01-07 01:18:00,-73.913464,40.847763,"residence","residence","360050217004000",2018-01-07 01:18:00,NA
"68",16217241,"New York","23H","all other larceny","larceny/theft offenses","property",2018-01-07 01:30:00,-73.941675,40.823182,"residence","residence","360610259001004",2018-01-06 20:00:00,2018-01-07 07:00:00
"69",16217473,"New York","23D","theft from building","larceny/theft offenses","property",2018-01-07 10:30:00,-73.773195,40.706341,"residence","residence","360810404002003",2018-01-07 10:00:00,2018-01-07 11:00:00
"70",16217572,"New York","90Z","all other offenses","all other offenses","other",2018-01-07 12:57:00,-74.003079,40.578968,"residence","residence","360470330002002",2018-01-07 12:55:00,2018-01-07 13:00:00
"71",16217596,"New York","26C","impersonation","fraud offenses (except counterfeiting/forgery and bad checks)","property",2018-01-07 13:25:00,-73.9944,40.753464,"government","government","360610111001002",2018-01-07 12:35:00,2018-01-07 14:15:00
"72",16217722,"New York","290","destruction/damage/vandalism of property (except arson)","destruction/damage/vandalism of property (except arson)","property",2018-01-07 16:15:00,-73.813856,40.587087,"street","street","360810942022017",2018-01-07 13:00:00,2018-01-07 19:30:00
"73",16217748,"New York","22B","non-residential burglary/breaking & entering","burglary/breaking & entering","property",2018-01-07 16:52:00,-73.982527,40.689537,"healthcare","healthcare","360470033002005",2018-01-07 16:51:00,2018-01-07 16:54:00
"74",16217794,"New York","23C","shoplifting","larceny/theft offenses","property",2018-01-07 17:40:00,-73.970119,40.794401,"healthcare","healthcare","360610183006001",2018-01-07 17:34:00,2018-01-07 17:47:00
"75",16217825,"New York","23C","shoplifting","larceny/theft offenses","property",2018-01-07 18:20:00,-73.957502,40.814787,"healthcare","healthcare","360610219001015",2018-01-07 18:20:00,NA
"76",16217870,"New York","90Z","all other offenses","all other offenses","other",2018-01-07 19:02:00,-73.998425,40.57978,"residence","residence","360470330003002",2018-01-07 18:00:00,2018-01-07 20:04:00
"77",16217931,"New York","90Z","all other offenses","all other offenses","other",2018-01-07 20:15:00,-73.846451,40.832556,"residence","residence","360050096001002",2018-01-07 20:15:00,NA
"78",16217953,"New York","13B","simple assault","assault offenses","persons",2018-01-07 20:45:00,-73.882746,40.674504,"residence","residence","360471166002002",2018-01-07 20:44:00,2018-01-07 20:46:00
"79",16218065,"New York","35A","drug/narcotic violations","drug/narcotic offenses","society",2018-01-07 23:25:00,-73.913634,40.830592,"residence","residence","360050175003001",2018-01-07 23:15:00,2018-01-07 23:36:00
"80",16218198,"New York","290","destruction/damage/vandalism of property (except arson)","destruction/damage/vandalism of property (except arson)","property",2018-01-08 03:22:00,-73.946556,40.696778,"residence","residence","360470257001002",2018-01-08 03:20:00,2018-01-08 03:25:00
"81",16218219,"New York","290","destruction/damage/vandalism of property (except arson)","destruction/damage/vandalism of property (except arson)","property",2018-01-08 04:10:00,-73.783823,40.706732,"residence","residence","360810444002007",2018-01-08 04:10:00,2018-01-08 04:10:00
"82",16218441,"New York","26B","credit card/automated teller machine fraud","fraud offenses (except counterfeiting/forgery and bad checks)","property",2018-01-08 11:59:00,-73.834097,40.69282,"residence","residence","360810124002004",2018-01-08 00:00:00,2018-01-08 23:59:00
"83",16218608,"New York","13B","simple assault","assault offenses","persons",2018-01-08 14:45:00,-73.917352,40.828583,"street","street","360050183023000",2018-01-08 14:45:00,NA
"84",16218700,"New York","26C","impersonation","fraud offenses (except counterfeiting/forgery and bad checks)","property",2018-01-08 16:07:00,-73.914325,40.68963,"residence","residence","360470415002003",2017-09-26 00:01:00,2018-04-23 10:14:00
"85",16218716,"New York","12A","personal robbery","robbery","property",2018-01-08 16:28:00,-73.977751,40.684462,"other retail","retail","360470129011000",2018-01-08 16:20:00,2018-01-08 16:37:00
"86",16218804,"New York","23C","shoplifting","larceny/theft offenses","property",2018-01-08 17:47:00,-73.941807,40.833184,"other retail","retail","360610241005000",2018-01-08 17:45:00,2018-01-08 17:50:00
"87",16218807,"New York","90Z","all other offenses","all other offenses","other",2018-01-08 17:50:00,-73.957502,40.814787,"residence","residence","360610219001015",2018-01-08 17:50:00,2018-01-08 17:50:00
"88",16218810,"New York","90J","trespass of real property","trespass of real property","society",2018-01-08 17:51:00,-73.813419,40.791004,"residence","residence","360810981002008",2018-01-08 17:51:00,NA
"89",16218824,"New York","290","destruction/damage/vandalism of property (except arson)","destruction/damage/vandalism of property (except arson)","property",2018-01-08 18:07:00,-73.943486,40.796082,"street","street","360610182005004",2018-01-08 18:00:00,2018-01-08 18:15:00
"90",16219375,"New York","90Z","all other offenses","all other offenses","other",2018-01-09 10:00:00,-73.932841,40.665313,"residence","residence","360470351003002",2017-11-15 18:00:00,2018-03-05 02:00:00
"91",16219377,"New York","26B","credit card/automated teller machine fraud","fraud offenses (except counterfeiting/forgery and bad checks)","property",2018-01-09 10:00:00,-73.82632,40.686712,"residence","residence","360810106001004",2018-01-08 10:00:00,2018-01-10 10:00:00
"92",16219463,"New York","23C","shoplifting","larceny/theft offenses","property",2018-01-09 11:55:00,-73.843604,40.889008,"other retail","retail","360050426001003",2018-01-09 11:50:00,2018-01-09 12:00:00
"93",16219464,"New York","22A","residential burglary/breaking & entering","burglary/breaking & entering","property",2018-01-09 11:55:00,-73.924745,40.6847,"residence","residence","360470383002000",2018-01-09 08:00:00,2018-01-09 15:50:00
"94",16219561,"New York","23C","shoplifting","larceny/theft offenses","property",2018-01-09 13:15:00,-73.868597,40.65774,"other retail","retail","360471070001000",2018-01-09 13:00:00,2018-01-09 13:30:00
"95",16219589,"New York","13B","simple assault","assault offenses","persons",2018-01-09 13:47:00,-73.953148,40.698313,"residence","residence","360470255001000",2018-01-09 13:45:00,2018-01-09 13:50:00
"96",16219775,"New York","13B","simple assault","assault offenses","persons",2018-01-09 16:00:00,-73.897403,40.867484,"rapid transit","transportation","360050265001000",2018-01-09 16:00:00,NA
"97",16219831,"New York","240","motor vehicle theft","motor vehicle theft","property",2018-01-09 16:45:00,-73.826964,40.758302,"vehicle parking","open space","360810853001002",2018-01-08 23:30:00,2018-01-10 10:00:00
"98",16220021,"New York","23C","shoplifting","larceny/theft offenses","property",2018-01-09 19:17:00,-73.985366,40.718514,"other retail","retail","360610014022001",2018-01-09 19:03:00,2018-01-09 19:32:00
"99",16220111,"New York","12A","personal robbery","robbery","property",2018-01-09 20:46:00,-73.90964,40.759613,"residence","residence","360810151001000",2018-01-09 20:45:00,2018-01-09 20:47:00
"100",16220166,"New York","520","weapon law violations","weapon law violations","society",2018-01-09 21:55:00,-73.935625,40.809859,"residence","residence","360610210004004",2018-01-09 21:50:00,2018-01-09 22:00:00
"101",16220213,"New York","290","destruction/damage/vandalism of property (except arson)","destruction/damage/vandalism of property (except arson)","property",2018-01-09 22:46:00,-73.765494,40.599943,"residence","residence","360811008023008",2018-01-09 22:45:00,2018-01-09 22:47:00
"102",16220305,"New York","13B","simple assault","assault offenses","persons",2018-01-10 00:32:00,-73.957467,40.801552,"street","street","360610197021003",2018-01-10 00:30:00,2018-01-10 00:35:00
"103",16220477,"New York","520","weapon law violations","weapon law violations","society",2018-01-10 06:01:00,-73.802151,40.68198,"residence","residence","360810192001004",2018-01-10 06:01:00,2018-01-10 06:02:00
"104",16220541,"New York","23C","shoplifting","larceny/theft offenses","property",2018-01-10 08:26:00,-74.007447,40.712803,"other retail","retail","360610021001007",2018-01-10 08:25:00,2018-01-10 08:28:00
"105",16220572,"New York","13B","simple assault","assault offenses","persons",2018-01-10 09:22:00,-73.910828,40.840416,"school","education","360050225001000",2018-01-10 08:27:00,2018-01-10 10:18:00
"106",16220650,"New York","23D","theft from building","larceny/theft offenses","property",2018-01-10 11:07:00,-73.992291,40.728874,"other retail","retail","360610057002003",2018-01-10 11:00:00,2018-01-10 11:15:00
"107",16220699,"New York","26B","credit card/automated teller machine fraud","fraud offenses (except counterfeiting/forgery and bad checks)","property",2018-01-10 12:02:00,-73.863711,40.666026,"residence","residence","360471214002000",2018-01-10 12:00:00,2018-01-10 12:05:00
"108",16220751,"New York","26C","impersonation","fraud offenses (except counterfeiting/forgery and bad checks)","property",2018-01-10 13:05:00,-73.918934,40.831644,"street","street","360050181021002",2018-01-10 13:00:00,2018-01-10 13:10:00
"109",16220932,"New York","290","destruction/damage/vandalism of property (except arson)","destruction/damage/vandalism of property (except arson)","property",2018-01-10 15:30:00,-73.917516,40.844573,"street","street","360050213021000",2018-01-10 15:30:00,NA
"110",16220982,"New York","13B","simple assault","assault offenses","persons",2018-01-10 16:03:00,-73.941836,40.754624,"other retail","retail","360810025003000",2018-01-10 15:45:00,2018-01-10 16:22:00
"111",16221041,"New York","13B","simple assault","assault offenses","persons",2018-01-10 16:55:00,-73.866497,40.875126,"residence","residence","360050374002005",2018-01-10 16:50:00,2018-01-10 17:00:00
"112",16221118,"New York","23H","all other larceny","larceny/theft offenses","property",2018-01-10 17:55:00,-73.917196,40.846398,"residence","residence","360050215023001",2018-01-10 17:50:00,2018-01-10 18:00:00
"113",16221137,"New York","23C","shoplifting","larceny/theft offenses","property",2018-01-10 18:04:00,-73.968275,40.799409,"supermarket","retail","360610191006000",2018-01-10 18:00:00,2018-01-10 18:08:00
"114",16221276,"New York","23D","theft from building","larceny/theft offenses","property",2018-01-10 20:02:00,-73.940427,40.828353,"residence","residence","360610235012002",2018-01-10 20:00:00,2018-01-10 20:05:00
"115",16221690,"New York","13A","aggravated assault","assault offenses","persons",2018-01-11 07:12:00,-73.976518,40.694381,"other","other","360470029012002",2018-01-11 06:45:00,2018-01-11 07:40:00
"116",16221758,"New York","13B","simple assault","assault offenses","persons",2018-01-11 09:22:00,-73.961616,40.603846,"street","street","360470556003000",2018-01-11 09:20:00,2018-01-11 09:25:00
"117",16221830,"New York","290","destruction/damage/vandalism of property (except arson)","destruction/damage/vandalism of property (except arson)","property",2018-01-11 11:12:00,-74.085878,40.595899,"other","other","360850096011009",2018-01-11 11:12:00,NA
"118",16221931,"New York","23B","purse-snatching","larceny/theft offenses","property",2018-01-11 12:45:00,-73.958293,40.815696,"rapid transit","transportation","360610219001013",2018-01-11 12:30:00,2018-01-11 13:00:00
"119",16222013,"New York","23H","all other larceny","larceny/theft offenses","property",2018-01-11 14:00:00,-73.946686,40.666072,NA,NA,"360470333003001",2018-01-11 14:00:00,NA
"120",16222036,"New York","520","weapon law violations","weapon law violations","society",2018-01-11 14:15:00,-73.941409,40.800253,"street","street","360610182002000",2018-01-11 14:10:00,2018-01-11 14:20:00
"121",16222308,"New York","13B","simple assault","assault offenses","persons",2018-01-11 17:40:00,-73.843894,40.856577,"street","street","360050296002000",2018-01-11 17:30:00,2018-01-11 17:50:00
"122",16222346,"New York","23C","shoplifting","larceny/theft offenses","property",2018-01-11 18:12:00,-74.007447,40.712803,"healthcare","healthcare","360610021001007",2018-01-11 18:00:00,2018-01-11 18:25:00
"123",16222409,"New York","35A","drug/narcotic violations","drug/narcotic offenses","society",2018-01-11 19:14:00,-73.967351,40.798193,"residence","residence","360610191006001",2018-01-11 19:12:00,2018-01-11 19:17:00
"124",16222584,"New York","12A","personal robbery","robbery","property",2018-01-11 22:12:00,-73.871724,40.740756,"street","street","360810461001009",2018-01-11 22:10:00,2018-01-11 22:15:00
"125",16222703,"New York","13B","simple assault","assault offenses","persons",2018-01-12 00:40:00,-73.847181,40.884281,"residence","residence","360050458004000",2018-01-12 00:01:00,2018-01-12 01:20:00
"126",16222764,"New York","13A","aggravated assault","assault offenses","persons",2018-01-12 01:43:00,-73.920193,40.809673,"residence","residence","360050039004000",2018-01-12 01:40:00,2018-01-12 01:47:00
"127",16222877,"New York","23A","pocket-picking","larceny/theft offenses","property",2018-01-12 05:05:00,-74.010801,40.711027,"other transportation","transportation","360610013001000",2018-01-12 05:00:00,2018-01-12 05:10:00
"128",16222929,"New York","23H","all other larceny","larceny/theft offenses","property",2018-01-12 07:27:00,-73.923433,40.816238,"school","education","360050065001002",2018-01-12 07:27:00,NA
"129",16223248,"New York","90Z","all other offenses","all other offenses","other",2018-01-12 14:07:00,-73.945259,40.655718,"healthcare","healthcare","360470808001001",2018-01-12 13:59:00,2018-01-12 14:15:00
"130",16223282,"New York","90Z","all other offenses","all other offenses","other",2018-01-12 14:35:00,-73.833395,40.874145,"school","education","360050462018005",2018-01-12 14:30:00,2018-01-12 14:40:00
"131",16223316,"New York","23D","theft from building","larceny/theft offenses","property",2018-01-12 15:10:00,-74.025132,40.634303,"residence","residence","360470068002002",2018-01-09 11:20:00,2018-01-15 19:00:00
"132",16223591,"New York","290","destruction/damage/vandalism of property (except arson)","destruction/damage/vandalism of property (except arson)","property",2018-01-12 19:10:00,-74.004492,40.650714,"street","street","360470084002002",2018-01-12 19:00:00,2018-01-12 19:20:00
"133",16223670,"New York","13B","simple assault","assault offenses","persons",2018-01-12 20:10:00,-73.766007,40.600523,"other","other","360811008023009",2018-01-12 20:10:00,2018-01-12 20:10:00
"134",16223715,"New York","240","motor vehicle theft","motor vehicle theft","property",2018-01-12 20:37:00,-73.868704,40.854376,"street","street","360050224011002",2018-01-12 20:15:00,2018-01-12 21:00:00
"135",16223792,"New York","290","destruction/damage/vandalism of property (except arson)","destruction/damage/vandalism of property (except arson)","property",2018-01-12 22:02:00,-73.889481,40.839467,"residence","residence","360050163001001",2018-01-12 22:00:00,2018-01-12 22:05:00
"136",16223803,"New York","90Z","all other offenses","all other offenses","other",2018-01-12 22:15:00,-74.083401,40.625599,"residence","residence","360850021003008",2018-01-12 22:00:00,2018-01-12 22:30:00
"137",16224122,"New York","13B","simple assault","assault offenses","persons",2018-01-13 03:30:00,-73.817059,40.73979,"residence","residence","360810837004004",2018-01-13 03:00:00,2018-01-13 04:00:00
"138",16224310,"New York","90Z","all other offenses","all other offenses","other",2018-01-13 09:40:00,-73.969438,40.79279,"residence","residence","360610181001000",2018-01-13 09:30:00,2018-01-13 09:50:00
"139",16224314,"New York","90Z","all other offenses","all other offenses","other",2018-01-13 09:45:00,-73.976944,40.694134,"residence","residence","360470029012005",2018-01-13 09:30:00,2018-01-13 10:00:00
"140",16224361,"New York","250","counterfeiting/forgery","counterfeiting/forgery","property",2018-01-13 10:50:00,-73.931122,40.668806,"street","street","360470351002000",2018-01-13 10:45:00,2018-01-13 10:55:00
"141",16224415,"New York","12A","personal robbery","robbery","property",2018-01-13 11:59:00,-73.894192,40.676867,"street","street","360471198002001",2018-01-13 11:55:00,2018-01-13 12:04:00
"142",16224469,"New York","290","destruction/damage/vandalism of property (except arson)","destruction/damage/vandalism of property (except arson)","property",2018-01-13 13:00:00,-74.016694,40.635529,"street","street","360470122003005",2018-01-13 13:00:00,NA
"143",16224562,"New York","290","destruction/damage/vandalism of property (except arson)","destruction/damage/vandalism of property (except arson)","property",2018-01-13 14:30:00,-73.947957,40.662927,"residence","residence","360470329003001",2018-01-13 11:00:00,2018-01-13 18:00:00
