"","cmplnt_num","cmplnt_fr_dt","cmplnt_fr_tm","cmplnt_to_dt","cmplnt_to_tm","addr_pct_cd","rpt_dt","ky_cd","ofns_desc","pd_cd","pd_desc","crm_atpt_cptd_cd","law_cat_cd","boro_nm","loc_of_occur_desc","prem_typ_desc","juris_desc","jurisdiction_code","parks_nm","hadevelopt","housing_psa","x_coord_cd","y_coord_cd","susp_age_group","susp_race","susp_sex","transit_district","latitude","longitude","lat_lon","patrol_boro","station_name","vic_age_group","vic_race","vic_sex"
"140",364012222,"2018-12-31T00:00:00.000","10:00:00","2018-12-31T00:00:00.000","10:30:00",63,"2018-12-31T00:00:00.000",578,"HARRASSMENT 2",638,"HARASSMENT,SUBD 3,4,5","COMPLETED","VIOLATION","BROOKLYN","INSIDE","DEPARTMENT STORE","N.Y. POLICE DEPT",0,"","","",1005804,161486,"UNKNOWN","BLACK","F",NA,40.609900125,-73.922372861,"(40.609900125, -73.922372861)","PATROL BORO BKLYN SOUTH","","45-64","ASIAN / PACIFIC ISLANDER","F"
"141",845894863,"2018-12-31T00:00:00.000","14:00:00","2018-12-31T00:00:00.000","14:15:00",73,"2018-12-31T00:00:00.000",361,"OFF. AGNST PUB ORD SENSBLTY &",639,"AGGRAVATED HARASSMENT 2","COMPLETED","MISDEMEANOR","BROOKLYN","INSIDE","RESIDENCE - APT. HOUSE","N.Y. POLICE DEPT",0,"","","",1010002,185331,"25-44","BLACK","M",NA,40.6753382950001,-73.907162399,"(40.675338295, -73.907162399)","PATROL BORO BKLYN NORTH","","UNKNOWN","BLACK","F"
"142",828292111,"2018-12-31T00:00:00.000","16:00:00","","",14,"2018-12-31T00:00:00.000",352,"CRIMINAL TRESPASS",203,"TRESPASS 3, CRIMINAL","COMPLETED","MISDEMEANOR","MANHATTAN","INSIDE","RESTAURANT/DINER","N.Y. POLICE DEPT",0,"","","",988191,215312,"45-64","BLACK","M",NA,40.7576655400001,-73.985776115,"(40.75766554, -73.985776115)","PATROL BORO MAN SOUTH","","25-44","WHITE HISPANIC","F"
"143",754567517,"2018-12-31T00:00:00.000","11:05:00","2018-12-31T00:00:00.000","11:37:00",47,"2018-12-31T00:00:00.000",106,"FELONY ASSAULT",109,"ASSAULT 2,1,UNCLASSIFIED","COMPLETED","FELONY","BRONX","INSIDE","RESIDENCE-HOUSE","N.Y. POLICE DEPT",0,"","","",1029017,261440,"25-44","BLACK","F",NA,40.884161213,-73.838104069,"(40.884161213, -73.838104069)","PATROL BORO BRONX","","25-44","BLACK","M"
"144",246403172,"2018-12-31T00:00:00.000","15:09:00","2018-12-31T00:00:00.000","15:29:00",40,"2018-12-31T00:00:00.000",126,"MISCELLANEOUS PENAL LAW",198,"CRIMINAL CONTEMPT 1","COMPLETED","FELONY","BRONX","INSIDE","RESIDENCE - APT. HOUSE","N.Y. POLICE DEPT",0,"","","",1005920,234654,"18-24","UNKNOWN","M",NA,40.8107284920001,-73.921719592,"(40.810728492, -73.921719592)","PATROL BORO BRONX","","18-24","WHITE HISPANIC","F"
"145",605592911,"2018-12-31T00:00:00.000","10:00:00","2018-12-31T00:00:00.000","11:00:00",62,"2018-12-31T00:00:00.000",341,"PETIT LARCENY",321,"LARCENY,PETIT FROM AUTO","COMPLETED","MISDEMEANOR","BROOKLYN","","STREET","N.Y. POLICE DEPT",0,"","","",980998,162513,"","","",NA,40.612744644,-74.0117142949999,"(40.612744644, -74.011714295)","PATROL BORO BKLYN SOUTH","","25-44","WHITE HISPANIC","M"
"146",580476707,"2018-12-31T00:00:00.000","21:00:00","2018-12-31T00:00:00.000","22:00:00",79,"2018-12-31T00:00:00.000",121,"CRIMINAL MISCHIEF & RELATED OF",269,"MISCHIEF,CRIMINAL,    UNCL 2ND","COMPLETED","FELONY","BROOKLYN","INSIDE","RESIDENCE - APT. HOUSE","N.Y. POLICE DEPT",0,"","","",997366,192877,"25-44","BLACK","M",NA,40.696078078,-73.952701992,"(40.696078078, -73.952701992)","PATROL BORO BKLYN NORTH","","25-44","BLACK","F"
"147",679970385,"2018-12-31T00:00:00.000","12:29:00","2018-12-31T00:00:00.000","12:29:00",78,"2018-12-31T00:00:00.000",361,"OFF. AGNST PUB ORD SENSBLTY &",639,"AGGRAVATED HARASSMENT 2","COMPLETED","MISDEMEANOR","BROOKLYN","INSIDE","HOSPITAL","N.Y. POLICE DEPT",0,"","","",990105,182698,"25-44","WHITE","M",NA,40.668146816,-73.978895747,"(40.668146816, -73.978895747)","PATROL BORO BKLYN SOUTH","","25-44","ASIAN / PACIFIC ISLANDER","F"
"148",144529842,"2018-12-31T00:00:00.000","17:30:00","2018-12-31T00:00:00.000","17:45:00",69,"2018-12-31T00:00:00.000",578,"HARRASSMENT 2",637,"HARASSMENT,SUBD 1,CIVILIAN","COMPLETED","VIOLATION","BROOKLYN","INSIDE","RESIDENCE - APT. HOUSE","N.Y. POLICE DEPT",0,"","","",1010332,174397,"25-44","BLACK","M",NA,40.6453259200001,-73.9060150019999,"(40.64532592, -73.906015002)","PATROL BORO BKLYN SOUTH","","45-64","WHITE","F"
"149",951131840,"2018-12-31T00:00:00.000","13:28:00","2018-12-31T00:00:00.000","13:30:00",41,"2018-12-31T00:00:00.000",578,"HARRASSMENT 2",637,"HARASSMENT,SUBD 1,CIVILIAN","COMPLETED","VIOLATION","BRONX","INSIDE","RESIDENCE - APT. HOUSE","N.Y. POLICE DEPT",0,"","","",1015845,236500,"18-24","WHITE HISPANIC","F",NA,40.8157653270001,-73.885857339,"(40.815765327, -73.885857339)","PATROL BORO BRONX","","25-44","UNKNOWN","F"
