"","incident_key","occur_date","occur_time","boro","precinct","jurisdiction_code","location_desc","statistical_murder_flag","perp_age_group","perp_sex","perp_race","vic_age_group","vic_sex","vic_race","x_coord_cd","y_coord_cd","latitude","longitude"
"45",198705943,"2019-06-19T00:00:00.000","10:40:00","MANHATTAN",5,2,"MULTI DWELL - PUBLIC HOUS","false","25-44","M","BLACK","25-44","M","BLACK",984075,198251,40.7108381640001,-74.000632678
"46",198653292,"2019-06-18T00:00:00.000","10:50:00","BROOKLYN",73,2,"MULTI DWELL - PUBLIC HOUS","false","18-24","M","BLACK","18-24","M","BLACK",1010854,182099,40.6664646620001,-73.904103595
"47",198595255,"2019-06-17T00:00:00.000","23:21:00","BROOKLYN",73,0,"","false","","","","45-64","M","WHITE HISPANIC",1009528,186407,40.6782930370001,-73.90886719
"48",198595257,"2019-06-17T00:00:00.000","17:34:00","BRONX",43,0,"","false","","","","18-24","M","BLACK",1023757,242233,40.831468929,-73.857239734
"49",198595258,"2019-06-17T00:00:00.000","14:47:00","BROOKLYN",81,2,"MULTI DWELL - PUBLIC HOUS","true","","","","25-44","M","BLACK",1001727,191635,40.692661539,-73.936978402
"50",198552502,"2019-06-15T00:00:00.000","04:14:00","MANHATTAN",32,0,"","true","<18","M","BLACK","25-44","M","BLACK",999488,235746,40.813739163,-73.944952405
"51",198552994,"2019-06-15T00:00:00.000","01:25:00","MANHATTAN",32,0,"","false","","","","18-24","M","BLACK",1000313,234249,40.809628853,-73.941975579
"52",198552995,"2019-06-14T00:00:00.000","15:57:00","BROOKLYN",73,0,"","false","","","","25-44","M","BLACK",1005740,182009,40.666231521,-73.922538001
"53",198552996,"2019-06-14T00:00:00.000","02:45:00","BRONX",44,0,"","false","","","","25-44","M","WHITE HISPANIC",1007338,246716,40.8438316410001,-73.9165556299999
"54",198457970,"2019-06-13T00:00:00.000","16:10:00","MANHATTAN",23,2,"MULTI DWELL - PUBLIC HOUS","false","","","","25-44","M","WHITE HISPANIC",997937,226909,40.789486555,-73.950573584
"55",198457971,"2019-06-13T00:00:00.000","15:06:00","BROOKLYN",88,2,"MULTI DWELL - PUBLIC HOUS","false","18-24","M","BLACK","18-24","M","BLACK",991352,192378,40.6947153080001,-73.974390448
"56",198405079,"2019-06-12T00:00:00.000","22:57:00","BROOKLYN",61,0,"","false","25-44","M","BLACK","25-44","M","BLACK",1000566,156826,40.5971205660001,-73.9412492169999
"57",198404597,"2019-06-12T00:00:00.000","19:37:00","BROOKLYN",77,0,"GROCERY/BODEGA","true","25-44","M","BLACK","45-64","M","BLACK",1000435,185274,40.675204502,-73.941652704
"58",198405080,"2019-06-12T00:00:00.000","19:27:00","STATEN ISLAND",121,0,"","false","18-24","M","WHITE HISPANIC","18-24","M","BLACK HISPANIC",937942,170983,40.635872566,-74.166848666
"59",198405076,"2019-06-12T00:00:00.000","08:09:00","BRONX",49,2,"MULTI DWELL - PUBLIC HOUS","false","","","","25-44","F","WHITE",1023622,253318,40.8618945590001,-73.85766248
"60",198405077,"2019-06-12T00:00:00.000","02:14:00","BROOKLYN",77,0,"","false","","","","25-44","M","BLACK",993387,187600,40.681598926,-73.9670583779999
"61",198350536,"2019-06-11T00:00:00.000","21:41:00","BROOKLYN",75,0,"","false","18-24","M","WHITE HISPANIC","18-24","M","BLACK",1020214,183053,40.669050105,-73.870359116
"62",198266990,"2019-06-10T00:00:00.000","02:21:00","MANHATTAN",30,0,"","true","18-24","M","BLACK","25-44","M","BLACK",998886,240181,40.8259130060001,-73.947117528
"63",198295765,"2019-06-10T00:00:00.000","00:55:00","BROOKLYN",83,0,"","false","","","","25-44","M","BLACK HISPANIC",1006847,192241,40.694313277,-73.9185133719999
